"","Height","Mu","Sigma","Lambda","Sex"
"184",46.83,3.50209481486743,0.208093773473878,0.309529601748019,"Male"
"185",46.84,3.50346192418393,0.208100225502312,0.309671177268121,"Male"
"186",46.85,3.50482986228702,0.208106648636003,0.309812782336052,"Male"
"187",46.86,3.50619862989994,0.208113042835054,0.309954416953676,"Male"
"188",46.87,3.50756822774621,0.208119408059546,0.310096081122893,"Male"
"189",46.88,3.50893865655005,0.208125744269544,0.310237774845576,"Male"
"190",46.89,3.51030991703613,0.208132051425096,0.310379498123613,"Male"
"191",46.9,3.51168200992961,0.208138329486229,0.310521250958893,"Male"
"192",46.91,3.51305493595623,0.208144578412956,0.310663033353305,"Male"
"193",46.92,3.51442869584222,0.208150798165267,0.310804845308737,"Male"
"194",46.93,3.51580329031425,0.208156988703139,0.310946686827093,"Male"
"195",46.94,3.51717872009966,0.208163149986529,0.311088557910257,"Male"
"196",46.95,3.51855498592631,0.208169281975377,0.311230458560118,"Male"
"197",46.96,3.51993208852232,0.208175384629603,0.311372388778595,"Male"
"198",46.97,3.52131002861667,0.208181457909113,0.311514348567569,"Male"
"199",46.98,3.52268880693868,0.208187501773793,0.311656337928944,"Male"
"200",46.99,3.5240684242182,0.208193516183512,0.311798356864628,"Male"
"201",47,3.52544888118564,0.20819950109812,0.31194040537652,"Male"
"202",47.01,3.52683017857184,0.208205456477453,0.312082483466537,"Male"
"203",47.02,3.52821231710838,0.208211382281326,0.312224591136567,"Male"
"204",47.03,3.5295952975271,0.208217278469538,0.312366728388535,"Male"
"205",47.04,3.53097912056058,0.208223145001871,0.312508895224338,"Male"
"206",47.05,3.53236378694169,0.208228981838089,0.312651091645906,"Male"
"207",47.06,3.53374929740409,0.208234788937939,0.312793317655136,"Male"
"208",47.07,3.5351356526817,0.208240566261151,0.312935573253958,"Male"
"209",47.08,3.53652285350918,0.208246313767436,0.313077858444279,"Male"
"210",47.09,3.53791090062165,0.208252031416492,0.313220173228016,"Male"
"211",47.1,3.5392997947546,0.208257719167994,0.313362517607105,"Male"
"212",47.11,3.54068953664431,0.208263376981605,0.313504891583448,"Male"
"213",47.12,3.5420801270273,0.208269004816968,0.313647295158991,"Male"
"214",47.13,3.54347156664093,0.208274602633711,0.313789728335636,"Male"
"215",47.14,3.54486385622279,0.208280170391443,0.313932191115324,"Male"
"216",47.15,3.54625699651109,0.208285708049758,0.314074683499989,"Male"
"217",47.16,3.5476509882447,0.208291215568231,0.314217205491548,"Male"
"218",47.17,3.54904583216284,0.208296692906423,0.314359757091941,"Male"
"219",47.18,3.55044152900532,0.208302140023875,0.314502338303101,"Male"
"220",47.19,3.55183807951254,0.208307556880114,0.314644949126956,"Male"
"221",47.2,3.55323548442524,0.208312943434648,0.31478758956546,"Male"
"222",47.21,3.55463374448491,0.208318299646971,0.314930259620535,"Male"
"223",47.22,3.55603286043343,0.208323625476557,0.31507295929413,"Male"
"224",47.23,3.55743283301323,0.208328920882867,0.315215688588183,"Male"
"225",47.24,3.55883366296731,0.208334185825344,0.315358447504638,"Male"
"226",47.25,3.56023535103908,0.208339420263412,0.315501236045449,"Male"
"227",47.26,3.56163789797262,0.208344624156482,0.315644054212553,"Male"
"228",47.27,3.56304130451253,0.208349797463949,0.315786902007895,"Male"
"229",47.28,3.56444557140374,0.208354940145188,0.315929779433441,"Male"
"230",47.29,3.56585069939191,0.20836005215956,0.316072686491136,"Male"
"231",47.3,3.56725668922325,0.208365133466411,0.316215623182923,"Male"
"232",47.31,3.56866354164427,0.208370184025068,0.316358589510775,"Male"
"233",47.32,3.57007125740223,0.208375203794844,0.31650158547664,"Male"
"234",47.33,3.57147983724488,0.208380192735034,0.316644611082471,"Male"
"235",47.34,3.57288928192035,0.208385150804918,0.316787666330241,"Male"
"236",47.35,3.5742995921775,0.208390077963761,0.316930751221902,"Male"
"237",47.36,3.57571076876561,0.208394974170811,0.317073865759418,"Male"
"238",47.37,3.57712281243446,0.208399839385298,0.317217009944761,"Male"
