"","Height","0.02","0.05","0.25","0.5","0.75","0.95","0.98"
"129",57.8,3.60716593719855,3.96664028989467,4.89061336635453,5.59191968352074,6.34192286285364,7.50677206536302,8.02807869851018
"130",57.9,3.62491225125824,3.98564427158473,4.91249271257112,5.61567608250104,6.36742948590911,7.534529622102,8.05667714614504
"131",58,3.6427327655931,4.00471894047383,4.93443063063203,5.63947963825746,6.3929695501518,7.56229716827518,8.08527449466581
"132",58.1,3.66062651789582,4.02386322827069,4.95642581892272,5.66332890825556,6.41854149450945,7.59007301869833,8.11386902487478
"133",58.2,3.67859252509161,4.04307604683604,4.97847695914871,5.68722243621192,6.44414374759935,7.61785548354684,8.14245901552533
"134",58.3,3.69662978313868,4.0623562880187,5.00058271624642,5.7111587520461,6.46977472771081,7.64564286836078,8.17104274332857
"135",58.4,3.71473726682875,4.08170282349117,5.02274173829214,5.73513637182961,6.49543284278288,7.67343347404239,8.19961848295121
"136",58.5,3.73291392959079,4.10111450458859,5.04495265641384,5.75915379773678,6.5211164903832,7.70122559685357,8.22818450701273
"137",58.6,3.75115870329623,4.12059016214884,5.06721408470301,5.78320951799472,6.54682405768462,7.72901752840884,8.25673908607734
"138",58.7,3.76947049806623,4.14012860635442,5.0895246201273,5.80730200683308,6.57255392144038,7.7568075556651,8.28528048864155
"139",58.8,3.7878482020817,4.15972862657705,5.11188284244504,5.83142972443471,6.59830444795929,7.78459396090966,8.31380698111975
"140",58.9,3.80629068139476,4.17938899122335,5.13428731411958,5.85559111688501,6.62407399307809,7.81237502174343,8.34231682782361
"141",59,3.82479677974302,4.19910844758303,5.1567365802353,5.87978461612214,6.64986090213367,7.84014901106225,8.37080829093923
"142",59.1,3.84336531836596,4.21888572167916,5.17922916841441,5.90400863988672,6.67566350993361,7.86791419703461,8.3992796304997
"143",59.2,3.86199509582382,4.23871951812031,5.20176358873467,5.92826159167164,6.70148014072558,7.8956688430765,8.42772910435407
"144",59.3,3.88068488781891,4.25860851995511,5.22433833364826,5.95254186067177,6.72730910816546,7.92341120782321,8.45615496813261
